Business Name,Product Categories,Products,Regions Served,Address,Contact Name,Phone,Email,Distributors,Website,Is this a small business?,Is this a socially disadvantaged business?,Animal Protein: USDA certified and/or custom 5a with small enterprise exemption (animal protein only),Freezer trade available,Certifications
Rise & Root Farm,Other,"Vegetables, herbs, edible flowers, tomatoes, salad, sauerkraut, chili paste","Capital Region,Mid Hudson,NY City","168 Meadow Avenue, Chester, NY 10918",Michaela Hayes-Hodge,(646) 382-3612,michaela@riseandrootfarm.com; farmer@riseandrootfarm.com,Farms2Tables,,checked,checked,,,
Mascho Homestead Farms,Animal Protein,Grass-Finished Angus Beef & Pasture Raised Pork,"Western NY,Southern Tier","6219 Feathers Creek Road, Belmont, NY, 14813",Danelle Mascho,(585) 610-6924,maschofarms@gmail.com,"Formally only pre-COVID and have not re-established, Cuba-Rushford, Hinsdale, ICS Wellsville",,checked,,Yes,Yes,Organic but not USDA certified
Samascott Orchards LLC,Produce,"Apples, apple cider, various fruits and vegetables","Capital Region,Mid Hudson,NY City","5 Sunset Ave., Kinderhook, NY 12106",Jake Samascott,(518) 330-5649,Jake@samascott.com,"Farms 2 Tables, Hudson Harvest",,checked,,Yes,Yes,"GAPS certified,FSMA or other food safety plan available"
Samascott Orchards LLC,Apple Cider,"Apples, apple cider, various fruits and vegetables","Capital Region,Mid Hudson,NY City","5 Sunset Ave., Kinderhook, NY 12106",Jake Samascott,(518) 330-5649,Jake@samascott.com,"Farms 2 Tables, Hudson Harvest",,checked,,Yes,Yes,"GAPS certified,FSMA or other food safety plan available"
Maryhaven,Produce,Hydroponic produce and herbs,Long Island,"445 SILLS ROAD, YAPHANK, NY, 11980",John Mahoney,(631) 924-5900,JMahoney@maryhaven.org,,,,checked,,,Organic but not USDA certified
WhyNot Farmstand / Sarah Bean,Animal Protein,Beef and pork cuts,Western NY,"4718 Lawson Road, Ashville, NY 14710",Sarah Bean,(716) 499-2411,sarahebean@hotmail.com,,,checked,,Yes,Yes,
Carlberg Farm Produce,Produce,"Strawberries, sweet corn, potatoes, squash, beans, tomatoes, peppers, eggplant, pumpkins, greens/lettuce, broccoli, cauliflower, cabbage, and more","Western NY,Southern Tier","1982 Peck Settlement Rd, Jamestown, NY 14701",Virginia Carlberg,(716) 969-3525,virginiacarlberg@gmail.com,,,checked,checked,Yes,Yes,
MS217Q Community Garden ,Produce,Produce to assist students and families ,NY City,"85-05 144th StQueens, NY 11435",Mr. Patrick Burns ,,PBurns3@schools.nyc.gov ,,,,checked,,,
Yara Farm ,Produce,Diversified vegetable operation ,"Southern Tier,Capital Region,Mid Hudson,NY City","170 Bowser Rd. Middletown, NY, 10940 ",Gabriela Pereyra ,(917) 935-5145,yarafarm.ny@gmail.com,,,checked,checked,,,
Norwich Meadows Farm,Produce,Vegetables,NY City,"105 Old Stone Rd, Norwich, NY 13815",Brant,(917) 903-4583,brantgshap@gmail.com,Baldor Foods,,checked,checked,,,"USDA Organic,FSMA or other food safety plan available"
Abers Acres,Produce,Produce,,"884 Route 394, Kennedy, NY 14747",Sue Abers,(716) 485-3276,info@abersacres.com,,,checked,checked,,,
Migliorelli Farm,Produce,Produce,,"46 Freeborn Lane, Tivoli, NY 12583",Ken Migliorelli,(914) 760-5843,ken@migliorelli.com,,,checked,checked,,,
Tangleroot Farm,Produce,Certified organic vegetables,North Country,"1835 NY-22, Essex, NY 12936",Adam Reed,(518) 496-5673,tanglerootfarm@gmail.com,Hub on the Hill,,checked,,,,USDA Organic
Columbia Farm Bakery Inc. - Our Daily Bread & The Gluten Free Bakery ,Grains,"We bake breads and pastries with NY state grown and milled flour, use New York eggs, dairy and seasonal local produce ","Mohawk Valley,Capital Region,Mid Hudson,NY City","116 Hudson Ave, Chatham, NY 12037",Gavriel Cohen,(518) 852-2575,manager.odb@gmail.com,"Fresh Direct, Misfits Market, Mostly independently distributed ",,checked,,,,
Chaseholm Farm,Animal Protein,"Yogurt (Maple and Plain), Beef, Pork",Mid Hudson,"115 Chase Road, Pine Plains, NY 12567",Sarah Chase,(518) 339-2071,sarah@chaseholmfarm.com,,,checked,checked,Yes,Yes,"USDA Organic,Organic but not USDA certified,PCO Certified 100% Grassfed"
Chaseholm Farm,Dairy,"Yogurt (Maple and Plain), Beef, Pork",Mid Hudson,"115 Chase Road, Pine Plains, NY 12567",Sarah Chase,(518) 339-2071,sarah@chaseholmfarm.com,,,checked,checked,Yes,Yes,"USDA Organic,Organic but not USDA certified,PCO Certified 100% Grassfed"
"Grandpa Farm, LLC",Produce,"Fruits, vegetables, herbs, and flowers, including greens and roots","Mid Hudson,NY City","168 Meadow Avenue, Chester, NY 10918",Elvia Trujillo,(845) 648-8267,senarepos19@gmail.com,GrowNYC,,checked,checked,,,
Tributary Farm,Produce,Most vegetables (45 types),Mid Hudson,"531 County Rte 6, High Falls NY 12440",Jesse Goldfarb,(845) 303-4601,jessegoldfarb@gmail.com,"At certain times of year - Red Barn, Hudson Valley Harvest",,checked,,,,Organic but not USDA certified
Star Route Farm,Produce,"Tomatoes, kale, collards, cabbage, spinach, cucumbers, squash, lettuce, beans, grains","Central NY,Mid Hudson,NY City","852 County Highway 40, Charlotteville, NY 12036",Amanda Wong,(917) 279-6017,starroutefarmny@gmail.com,,,checked,checked,,No,"Organic but not USDA certified,FSMA or other food safety plan available"
Full Circus Farm ,Produce,"Wide variety of Organic Vegetables, Organic Baby Fruit Trees",Mid Hudson,"27 Mills Path, Pine Plains, NY 12567",Miriam Goler ,(518) 789-0025,Fullcircusfarm@gmail.com,,,checked,checked,,,USDA Organic
MX Morningstar Farm ,Produce,"Potatoes, sweet potatoes, winter squash, cauliflower, turnips, carrots, beets, cabbage, and other mixed vegetables ","Capital Region,Mid Hudson","5956 NY-9H, Hudson, NY 12534",Maria Zordan,(305) 389-5332,Farmers@mxmorningstarfarm.com,"Farms2Tables, Marty's Local, Hudson Harvest ",,checked,checked,,,"USDA Organic,FSMA or other food safety plan available"
Grammy's Tamales ,Other,"Tamales, tortillas, other",,"31 Milltowne Dr, Waterford, NY 13188",Danielle Rahmatulla,(716) 799-4929,grammystamales@gmail.com,,,checked,checked,,,
Common Hands Farm,Produce,"Over 100 varieties of vegetables & herbs, hot sauces, salad dressings, pickled products, herb salt blends","Capital Region,Mid Hudson","2187 County Route 11, Hillsdale, NY 12529",Loralee Reidy,(845) 706-8887,commonhandsfarm@gmail.com,"Taste of NY Capital Region, Otto's Market, Big Rock Market, Samuel's Sweetshop, Woodstock Meats, Farms2Table",,checked,,,,Organic but not USDA certified
Common Hands Farm,Other,"Over 100 varieties of vegetables & herbs, hot sauces, salad dressings, pickled products, herb salt blends","Capital Region,Mid Hudson","2187 County Route 11, Hillsdale, NY 12529",Loralee Reidy,(845) 706-8887,commonhandsfarm@gmail.com,"Taste of NY Capital Region, Otto's Market, Big Rock Market, Samuel's Sweetshop, Woodstock Meats, Farms2Table",,checked,,,,Organic but not USDA certified
Kubed Root,Produce,"Microgreens, wheatgrass",Western NY,"33 Pannell St. Unit #1, Buffalo, NY 14214",Elias Martinez,716-,eliasm@kubedroot.com,,,checked,checked,,,Organic but not USDA certified
Nounos Creamery ,Dairy,100%,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","610 Rutgers Rd, West Babylon, NY 11704",Steven Loannou,(917) 224-2411,steve@nounoscreamery.com,"UNFI, Dora's, Nounos Creamery DSD",,checked,checked,,,FSMA or other food safety plan available
Muranda Cheese,Dairy,Cheese,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","3075 Rte. 96, Waterloo, NY 13165",Blane Murray ,(315) 246-1457,Murandacheese@gmail.com,Self-distribute,,checked,checked,,No,FSMA or other food safety plan available
Fres Co LLC,Produce,Produce,"Capital Region,Mid Hudson,NY City,Long Island",153-157 Row A NYC Terminal Market,Charlie DiMaggio,1-718-589-5000,charlie@frescony.com,,,checked,,,,
Chaseholm Farm Creamery,Dairy,Cheese,"Finger Lakes,Central NY,Capital Region,Mid Hudson,NY City,Long Island","100 Chase Rd, Pine Plains, NY 12567",Raena Shaffer,(518) 398-0368,Raena@cfcreamery.com,"Regional Access, Adventure in Food Trading, Farms2Table",,checked,,,,"Organic but not USDA certified,FSMA or other food safety plan available"
Reeves Farms LLC,Produce,"Sweet Corn, Strawberries, Squash, Cucumbers, Tomatoes, Cabbage, Peas, Peppers, Eggplant",Central NY,"1100 Reeves Road, Baldwinsville, NY 13027",Karin Reeves,(315) 396-5684,karin.reeves@reevesfarms.com,Headwater Food Hub,,checked,,,,"USDA Organic,GAPS certified,FSMA or other food safety plan available"
Smith's Quality Eggs LLC,Animal Protein,Eggs,"Finger Lakes,Central NY,Southern Tier,Mohawk Valley","7047 Kelly Rd, Lafayette, NY 13084",Carlton Conklin,(315) 604-0513,carltonconklin@gmail.com,"Mento Produce, Cotrupe Produce, Carlo Masi Produce, Zimowski Foods, Husted Dairy, Jacks egg Farm",,checked,,,,
Greenane Farms,Animal Protein,"Chicken, Turkey, Beef, Quail, Sheep Goat - meats","Southern Tier,Mid Hudson,NY City","5637 Turnpike Road, Delhi, NY 13753",Patrick Rider,(804) 301-7247,patrick@greenanefarms.com,,,checked,checked,Yes,Yes,
Lucki7 Livestock Co.,Animal Protein,"Pork, beef, lamb, goat, chicken, turkey","Finger Lakes,Central NY,North Country,NY City,Long Island","20562 Lowville Creek Rd, Rodman, NY 13682",Stephen Winkler,(315) 767-6809,lucki7@lucki7livestock.com,"Whole Foods, Mosner Family Brands",,checked,,Yes,Yes,Global Animal Partnership
Noto Fruit Farm LLC,Produce,"Apples, apple cider, peaches, pears",Finger Lakes,"7539 E Townline Rd, Williamson, NY 14589",John Noto,(585) 202-3030,jnrfruitfarm@aol.com,,,checked,,,,
Noto Fruit Farm LLC,Apple Cider,"Apples, apple cider, peaches, pears",Finger Lakes,"7539 E Townline Rd, Williamson, NY 14589",John Noto,(585) 202-3030,jnrfruitfarm@aol.com,,,checked,,,,
Mulligan Creek Acres ,Animal Protein,"Pork, beef, chicken","Central NY,Southern Tier,Mohawk Valley,Capital Region,Mid Hudson,NY City","1181 East Lykers Rd, Sprakers, NY 12166",Tanya Moyer ,(518) 673-4848,mulligancreekacres@live.com ,,,checked,checked,Yes,Yes,
Satur Farms,Produce,"Baby Spinach, Wild Arugula, Mesclun, Asian Greens, Kale, Baby Bok Choi, Leeks, cauliflower, Swiss Chard, Brussels Sprouts, Broccoli","Finger Lakes,NY City,Long Island","3705 Alvahs Lane, Cutchogue, NY 11935",Paulette Satur,(631) 734-4219,PAULETTE@SATURFARMS.COM,"Baldor Food, Ace Endico, Sysco, Fingerlakes Farms, Fresh Pro, Riviera Produce, Grow NYC, Peter's",,checked,checked,,,"GAPS certified,FSMA or other food safety plan available"
Catskills Agrarian Alliance/607 CSA,Animal Protein,"Banana peppers, beets, bell peppers, bok choy, broccoli, Brussels sprouts, cabbage, carrots, collards, cucumbers, fennel, frissee, endive, garlic, garlic scapes, green beans, ground cherries, anise, hysop, apple, mint, basil, cilantro, santo dill, bouquet italian basil, lemon balm, oregano, parsley, curly parsley, Italian peppermint, rosemary sage, spearmint, Thai basil, thyme, tulsi, jams, maple products, hot peppers, Italian dandelion greens, kale, leeks, lettuce, okra, onions, potatoes, purple, scallion, radish, squash, tomatoes, turnip, watermelon, zucchini, butter, milk, cheese, eggs, bacon, beef, chicken, fish, sausage, turkey, flour, grains ",Southern Tier,,Hannah Rose Leighton,(973) 851-5104,Hannah@the607csa.com,We are an aggregator and distrubutor of local products from 40+ farms ,,,checked,Yes,No,"USDA Organic,Organic but not USDA certified,GAPS certified,FSMA or other food safety plan available,Animal Welfare Approved by AGW,American Humane Certified,Certified Grassfed by AGW,PCO Certified 100% Grassfed,Certified Humane Raised and Handled,Global Animal Partnership,Certified Responsible Antibiotic Use,Food Alliance Certified"
Catskills Agrarian Alliance/607 CSA,Produce,"Banana peppers, beets, bell peppers, bok choy, broccoli, Brussels sprouts, cabbage, carrots, collards, cucumbers, fennel, frissee, endive, garlic, garlic scapes, green beans, ground cherries, anise, hysop, apple, mint, basil, cilantro, santo dill, bouquet italian basil, lemon balm, oregano, parsley, curly parsley, Italian peppermint, rosemary sage, spearmint, Thai basil, thyme, tulsi, jams, maple products, hot peppers, Italian dandelion greens, kale, leeks, lettuce, okra, onions, potatoes, purple, scallion, radish, squash, tomatoes, turnip, watermelon, zucchini, butter, milk, cheese, eggs, bacon, beef, chicken, fish, sausage, turkey, flour, grains ",Southern Tier,,Hannah Rose Leighton,(973) 851-5104,Hannah@the607csa.com,We are an aggregator and distrubutor of local products from 40+ farms ,,,checked,Yes,No,"USDA Organic,Organic but not USDA certified,GAPS certified,FSMA or other food safety plan available,Animal Welfare Approved by AGW,American Humane Certified,Certified Grassfed by AGW,PCO Certified 100% Grassfed,Certified Humane Raised and Handled,Global Animal Partnership,Certified Responsible Antibiotic Use,Food Alliance Certified"
Catskills Agrarian Alliance/607 CSA,Grains,"Banana peppers, beets, bell peppers, bok choy, broccoli, Brussels sprouts, cabbage, carrots, collards, cucumbers, fennel, frissee, endive, garlic, garlic scapes, green beans, ground cherries, anise, hysop, apple, mint, basil, cilantro, santo dill, bouquet italian basil, lemon balm, oregano, parsley, curly parsley, Italian peppermint, rosemary sage, spearmint, Thai basil, thyme, tulsi, jams, maple products, hot peppers, Italian dandelion greens, kale, leeks, lettuce, okra, onions, potatoes, purple, scallion, radish, squash, tomatoes, turnip, watermelon, zucchini, butter, milk, cheese, eggs, bacon, beef, chicken, fish, sausage, turkey, flour, grains ",Southern Tier,,Hannah Rose Leighton,(973) 851-5104,Hannah@the607csa.com,We are an aggregator and distrubutor of local products from 40+ farms ,,,checked,Yes,No,"USDA Organic,Organic but not USDA certified,GAPS certified,FSMA or other food safety plan available,Animal Welfare Approved by AGW,American Humane Certified,Certified Grassfed by AGW,PCO Certified 100% Grassfed,Certified Humane Raised and Handled,Global Animal Partnership,Certified Responsible Antibiotic Use,Food Alliance Certified"
Gotham Greens LLC,Produce,"Basil, greens (lettuce), pesto, dressings, dips","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","810 Humboldt St, Brooklyn, NY 11223",Blake Fanguy,(917) 403-3659,Blake@gothamgreens.com,"Direct, PFG Roma, Sysco, Unfi, Kehe, Fresh Pro, Baldor ",,checked,,,,
Gotham Greens LLC,Other,"Basil, greens (lettuce), pesto, dressings, dips","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","810 Humboldt St, Brooklyn, NY 11223",Blake Fanguy,(917) 403-3659,Blake@gothamgreens.com,"Direct, PFG Roma, Sysco, Unfi, Kehe, Fresh Pro, Baldor ",,checked,,,,
The Meadow Farmstead,Produce,Organic fruits and vegetables ,North Country,"1129 Stickney Bridge Road, Ausable Forks, NY 12912",Joel Brandt,(518) 524-7471,joelabrandt@gmail.com,,,checked,checked,,,USDA Organic
Chicory Creek Farm LLC,Produce,Produce,,"2722 State Highway 205, Mount Vision, NY 13810",Kate Mitchell,(864) 650-2899,chicorycreekfarm@gmail.com,,,checked,,,,
Wildkale.com,Produce,"Produce, Black Bean Vegan Burger, Cheese Ravioli, Chicken Dumplings, Vegan Dumplings, Swedish Meatballs
",,,Ana Jakimovska,(917) 340-3025,ana@wildkale.com,,,checked,checked,,,
Wildkale.com ,Other,"Produce, Black Bean Vegan Burger, Cheese Ravioli, Chicken Dumplings, Vegan Dumplings, Swedish Meatballs
",,,Ana Jakimovska,(917) 340-3025,ana@wildkale.com,,,checked,checked,,,
Wildkale.com,Animal Protein,"Produce, Black Bean Vegan Burger, Cheese Ravioli, Chicken Dumplings, Vegan Dumplings, Swedish Meatballs
",,,Ana Jakimovska,(917) 340-3025,ana@wildkale.com,,,checked,checked,,,
Eden Valley Creamery ,Dairy,Organic Cheeses,Western NY,"12450 Dredge Rd, South Dayton, NY 14138",Emily Smith ,(716) 481-1634,edenvalleycreamery@gmail.com,Self-distribute,,checked,,,,"USDA Organic,FSMA or other food safety plan available"
Fire Creek Farms ,Animal Protein,"Produce (vegetables mainly), meat (beef, pork and chicken), eggs, honey, wheat, soybeans, corn","Western NY,Finger Lakes","3450 Plank Rd, Livonia, NY 14487",Kyli Stevens ,(585) 233-9856,Thefirecreekfarms@gmail.com,,,checked,checked,Yes,Yes,
Fire Creek Farms ,Produce,"Produce (vegetables mainly), meat (beef, pork and chicken), eggs, honey, wheat, soybeans, corn","Western NY,Finger Lakes","3450 Plank Rd, Livonia, NY 14487",Kyli Stevens ,(585) 233-9856,Thefirecreekfarms@gmail.com,,,checked,checked,Yes,Yes,
Riverview Farms,Animal Protein,"Pork, Chicken, Beef, Eggs","Western NY,Southern Tier","10063 Route 19, Fillmore, NY 14735",Mary Beckendorf,(716) 213-8280,mary@riverviewfarmsny.com,,,checked,checked,Yes,Yes,Organic but not USDA certified
"Brightly Farms, LLC",Produce,Produce,,"1765 Redman Rd, Hamlin, NY 14464",Betsy Brightly,(585) 967-9499,betsybrightly@yahoo.com,,,checked,,,,
Fish Hill Farm,Animal Protein,Beef ,,"243 Clemons Rd, Frankfort, NY 13340",Beth Reisdorf,(585) 535-4006,bareisdorf@yahoo.com,,,checked,checked,,,
North Harbor Beef Company ,Animal Protein,We produce bulk USDA certified ground beef in 1 pound or 2 pound packs. We also have hamburger patties.,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","14471 County Route 145, Sackets Harbor, NY 13685",Jake Ledoux ,(315) 777-6401,jake@robbinsfamilygrain.com,,,checked,,Yes,Yes,
Lillie Valley Farm,Animal Protein,"Beef, Pork",North Country,"17451 State Rte 22, Putnam Station, NY 12861",Bonnie Barnhart,(518) 547-8268,Lillievalleyfarm@gmail.com,"Ticonderoga Co-Op, Adirondack Trading Post",,checked,checked,Yes,Yes,Certified Humane Raised and Handled
Rise'n'Swine Farm,Animal Protein,"Beef, pork","Western NY,Finger Lakes,Central NY,Southern Tier","9806 Wagner Rd, Holland, NY 14080",Elisabeth ,(716) 710-8400,risenswinefarms@gmail.com,,,checked,,Yes,Yes,
Produce Peddlers,Animal Protein,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Dairy,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Grains,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Produce,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Maple Syrup,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Apple Cider,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Distributor,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Prepared Foods,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Produce Peddlers,Honey,"Anything grown, raised, or produced in WNY (also carries domestic). Delivery within a 50 mile radius of Buffalo.",Western NY,,Gina and Gary Wieczorek,(716) 440-5853,gina@producepeddlers.com,,https://producepeddlers.com/,,,Yes,Yes,Certified Responsible Antibiotic Use
Silers Farm Market,Produce,Produce,Western NY,"2673-2773 NY-78, Java Center, NY 14082",Mary Siler,(716) 474-3986,,,https://www.facebook.com/profile.php?id=100057629462331,checked,,,,
"Great Joy Family Farm
",Produce,"Vegetables (potato, onion, tomato, carrot, cabbage, sweet potato, lettuce and other greens, eggplant, bean, pepper, ect. ), fruits (watermelon, grape, apple,etc.), grains (rice, millet, soy bean), meat (beef, pork), poultry(chicken, duck), eggs ","Mid Hudson,NY City,Long Island","386 State Route 302, Pine Bush, NY 12566",Shirley Fan,(845) 883-8108,greatjoyfamilyfarm@gmail.com,,,checked,checked,,,Organic but not USDA certified
Great Joy Family Farm,Grains,"Vegetables (potato, onion, tomato, carrot, cabbage, sweet potato, lettuce and other greens, eggplant, bean, pepper, ect. ), fruits (watermelon, grape, apple,etc.), grains (rice, millet, soy bean), meat (beef, pork), poultry(chicken, duck), eggs ","Mid Hudson,NY City,Long Island","386 State Route 302, Pine Bush, NY 12566",Shirley Fan,(845) 883-8108,greatjoyfamilyfarm@gmail.com,,,checked,checked,,,Organic but not USDA certified
"Goodman Farms LLC
",Produce,"Fruits, vegetables, herbs, greens, mushrooms",Western NY,"2930 Randall Road, Ransomville, NY 14131",Brendan Monaco,(716) 534-7384,brendan@goodmanfarmsllc.com,,,checked,,,,"USDA Organic,GAPS certified,FSMA or other food safety plan available"
"Starlight Acres LLC
",Honey,Honey,"Central NY,Mohawk Valley","239 Groff Rd, Palatine Bridge, NY 13428",Justin Fuess,(315) 941-2587,StarlightAcresLLC@gmail.com,,,checked,,,,
"Lone Maple Farm
",Produce,"Lettuce (hydroponic all year - romaine, green leaf, red leaf, bibb), Baby Greens, Microgreens (radish, sunflower, mild mix, spicy mix), Broccoli, Cauliflower, Herbs (basil, cilantro, parsley, watercress, etc),  Cucumbers (long seedless), Tomatoes, Squash (green and yellow), and Peppers (green and red)","Central NY,Southern Tier","2001 Hawleyton Road, Binghamton, NY 13903",Mike Harris,(607) 724-4828,mharris@lonemaplefarm.com,,,checked,checked,,,"GAPS certified,Organic but not USDA certified"
"Blue Spoon Farm LLC
",Animal Protein,Sheep and Goat meat,"Finger Lakes,Central NY,Southern Tier","5105 State Route 224, Odessa, NY 14869",Jacalyn Spoon,(607) 898-9050,bluespoonfarm@gmail.com ,,,checked,checked,Yes,Yes,"American Humane Certified,Certified Humane Raised and Handled"
"Milk Pail, LLC
",Prepared Foods,"Apples, peaches, pumpkins/squash, blueberries, table grapes",Long Island,"757 Mecox Rd, Water Mill, NY 11976 ",Jennifer H Dupree,(631) 774-6621,jennhalsey@milk-pail.com,East End Food Institute - LocalLine,,checked,checked,,,"GAPS certified,FSMA or other food safety plan available"
"King Creek Farms
",Animal Protein,"Chicken, Turkey, Beef, Eggs","Mohawk Valley,Capital Region","192 Benninger Rd, Delanson, NY 12053",Aisha Coakley,(518) 768-7447,Kingcreekfarms@gmail.com,,,checked,checked,Yes,Yes,Organic but not USDA certified
"Wagon Wheel Farm LLC
",Produce,"Vegetables, Eggs, Maple Syrup, Milk",Mid Hudson,"363 Sarah Wells Trail, Goshen, NY 10924",Jason Touw,(845) 360-5772,wagonwheelfarmny@gmail.com,,,checked,checked,,,Organic but not USDA certified
Wagon Wheel Farm LLC,Animal Protein,"Vegetables, Eggs, Maple Syrup, Milk",Mid Hudson,"363 Sarah Wells Trail, Goshen, NY 10924",Jason Touw,(845) 360-5772,wagonwheelfarmny@gmail.com,,,checked,checked,,,Organic but not USDA certified
Wagon Wheel Farm LLC,Dairy,"Vegetables, Eggs, Maple Syrup, Milk",Mid Hudson,"363 Sarah Wells Trail, Goshen, NY 10924",Jason Touw,(845) 360-5772,wagonwheelfarmny@gmail.com,,,checked,checked,,,Organic but not USDA certified
Wagon Wheel Farm LLC,Maple Syrup,"Vegetables, Eggs, Maple Syrup, Milk",Mid Hudson,"363 Sarah Wells Trail, Goshen, NY 10924",Jason Touw,(845) 360-5772,wagonwheelfarmny@gmail.com,,,checked,checked,,,Organic but not USDA certified
"Genesee Valley Bean Co.
",Plant-based Protein,"Black Beans, Kidney Beans, Small Reds, Pinto Beans, Navy","Western NY,Mid Hudson","4194 Cameron Rd, Caledonia , NY 14423",Mark Callan,(585) 314-8509,mtcall93@gvbean.com,"Headwater Food Hub, Latina Boulevard Foods, Eden Valley Growers, Hudson Harvest, Quali-Pak",,checked,,,,USDA Organic
Genesee Valley Bean Co.,Produce,"Black Beans, Kidney Beans, Small Reds, Pinto Beans, Navy","Western NY,Mid Hudson","4194 Cameron Rd, Caledonia , NY 14423",Mark Callan,(585) 314-8509,mtcall93@gvbean.com,"Headwater Food Hub, Latina Boulevard Foods, Eden Valley Growers, Hudson Harvest, Quali-Pak",,checked,,,,USDA Organic
Foodlink Lexington Ave Community Farm,Produce,Vegtables,"Western NY,Finger Lakes,Central NY","2011 Mt Read Blvd., Rochester, NY 14615",John Miller,(585) 354-1186,jmiller@foodlinkny.org,Foodlink,,checked,checked,,,Organic but not USDA certified
"Garrett Venturers 
",Animal Protein,Angus Beef,North Country,"PO Box 129, Clayton, NY 13624",Jody Garrett,(315) 783-3198,jody@saintlawrencespirits.com,,,checked,,Yes,Yes,
"Abode Farm
",Produce,"Vegetables: greens, root vegetables, potatoes, cabbage, garlic","Capital Region,Mid Hudson","9 Chair Factory Road, New Lebanon, NY 12125",Ellyn Gaydos,(802) 922-3949,abodecsa@gmail.com,New Lebanon Farmers Market,,checked,,,,
"Hoffmire Farms Co.
",Produce,Local fruit and vegetable distributing,"Finger Lakes,Central NY","6515 NYS Rte 227, Trumansburg, NY  14886",Gregg Hoffmire,(607)387-8400; (607)592-1970,hoffmirefarms@gmail.com,,,checked,checked,,,
Rise and Root Farm,Produce,"Vegetables, edible flowers, herbs","Southern Tier,Mid Hudson,NY City","168 Meadow Ave Chester, NY 10918",Michaela Hayes-Hodge,(646) 382-3612,michaela@riseandrootfarm.com,Farms2Tables,,checked,checked,,,Organic but not USDA certified
"Crosswinds Farm & Creamery
",Dairy,"Milk, flavored milks, cheese, yogurt, gelato, beef, pork, veal","Western NY,Finger Lakes,Central NY,Southern Tier,NY City","4721 SR 14A, Rock Stream, NY 14878",Sarah VanOrden Morrow,(607) 327-0363,Crosswindsfarmcreamery@gmail.com,,,checked,checked,Yes,Yes,FSMA or other food safety plan available
Crosswinds Farm & Creamery,Animal Protein,"Milk, flavored milks, cheese, yogurt, gelato, beef, pork, veal","Western NY,Finger Lakes,Central NY,Southern Tier,NY City","4721 SR 14A, Rock Stream, NY 14878",Sarah VanOrden Morrow,(607) 327-0363,Crosswindsfarmcreamery@gmail.com,,,checked,checked,Yes,Yes,FSMA or other food safety plan available
"Flat 12 Mushrooms
",Produce,Mushrooms,"Western NY,Southern Tier","37 Chandler St., Buffalo, NY 14207",Robert Gianadda,(716) 903-5098,Flat12mushrooms@icloud.com,"Produce Peddlers, Braymiller",,checked,,,,FSMA or other food safety plan available
